index,title,type,description,genre,cast,creators
748,Chernobyl 1986,movie,"After reuniting with a lost love, firefighter Alexey retires to begin a new life — but the Chernobyl disaster suddenly plunges him back into danger.","[""Dramas"",""Russian""]","[""Aleksandr Alyabyev"",""Artur Beschastnyy"",""Danila Kozlovsky"",""Dmitry Matveyev"",""Filipp Avdeev"",""Igor Chernevich"",""Nikolay Kozak"",""Oksana Akinshina"",""Pyotr Tereshchenko"",""Ravshana Kurkova"",""Samvel Tadevosian""]","[""Danila Kozlovsky""]"
749,The Girl and the Gun,movie,"Fed up with abuse by those around her, a department store saleswoman finds a weapon in an alleyway and decides to settle scores.","[""Dramas"",""Crime Movies"",""Thriller Movies"",""Filipino""]","[""Allan Paule"",""Archi Adamos"",""Bie Ruaro"",""Elijah Canlas"",""Felix Roco"",""Janine Gutierrez"",""JC Santos"",""Jess Mendoza"",""Ruby Ruiz"",""Sky Teotico""]","[""Rae Red""]"
750,Myriam Fares: The Journey,movie,"From pregnancy to album preparations, Lebanese singer and “Queen of the Stage” Myriam Fares documents her experiences with her family while in lockdown.","[""Biographical Documentaries"",""Social & Cultural Docs"",""Middle Eastern Movies"",""Music & Musicals"",""Documentary Films"",""Lebanese""]","[""Myriam Fares""]","[""Myriam Fares""]"
751,Carnaval,movie,"After a breakup, an influencer takes her friends on a free trip to Bahia&#39;s vibrant Carnival, where she learns life&#39;s not just about social media likes.","[""Comedies"",""Music & Musicals"",""Brazilian""]","[""Bruna Inocencio"",""Flavia Pavanelli"",""Giovana Cordeiro"",""Gkay"",""Jean Pedro"",""Micael Borges"",""Nikolas Antunes"",""Rafael Medrado"",""Samya Pascotto"",""Stella Miranda""]","[""Leandro Neri""]"
752,Super Monsters: Once Upon a Rhyme,movie,"From Goldilocks to Hansel and Gretel, the Super Monsters reimagine classic fairy tales and favorite nursery rhymes with a musical, magical spin!","[""Children & Family Movies"",""Musicals"",""Kids Music""]","[""Alessandro Juliani"",""Andrea Libman"",""Asia Mattu"",""Britt McKillip"",""Diana Kaarina"",""Elyse Maloway"",""Erin Mathews"",""Gigi Saul Guerrero"",""Ian James Corlett"",""Nicole Anthony"",""Rukiya Bernard"",""Vincent Tong""]","[""Steve Ball""]"
753,Our Ladies,movie,"In 1990s Scotland, a group of Catholic school girls seizes an opportunity for daring pursuits when they travel to Edinburgh for a singing competition.","[""Teen Films"",""Dramas"",""Comedies"",""Films Based on Books"",""British""]","[""Abigail Lawrie"",""Eve Austin"",""Jack Greenlees"",""Marli Siu"",""Rona Morison"",""Sally Messham"",""Stuart Martin"",""Tallulah Greive""]","[""Michael Caton-Jones""]"
754,Roh,movie,"When a strange girl visits a vulnerable mother and her two children, the forest comes alive with terrors in this indie horror arthouse film.","[""Horror Movies"",""Malaysian""]","[""Farah Ahmad"",""Harith Haziq"",""June Lojong"",""Mhia Farhana"",""Nam Ron"",""Putri Syahadah Nurqaseh""]","[""Emir Ezwan""]"
755,Seven Souls in the Skull Castle: Season Moon Kagen,movie,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the “Moon Kagen” version of the show, performed in a 360º theater.","[""Action & Adventure"",""Dramas"",""Period Pieces"",""Japanese""]","[""Aki Hano"",""Hiroki Suzuki"",""Kodai Matsuoka"",""Mamoru Miyano"",""Ryo Kimura"",""Tetsuya Chiba"",""Tomoki Hirose""]","[""Hidenori Inoue""]"
756,Seven Souls in the Skull Castle: Season Moon Jogen,movie,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the “Moon Jogen” version of the show, performed in a 360º theater.","[""Action & Adventure"",""Dramas"",""Period Pieces"",""Japanese""]","[""Ikkei Watanabe"",""Kenta Suga"",""Shohei Miura"",""Shoko Takada"",""Soichi Hirama"",""Sota Fukushi"",""Taichi Saotome""]","[""Hidenori Inoue""]"
757,Gold Statue,movie,"After tracing an artifact to his ancestry, a young man and his friend&#39;s search for a gilded statue lands them in a maximum-security prison.","[""African Movies"",""Dramas"",""Comedies"",""Nollywood""]","[""Alibaba Akporobome"",""Gabriel Afolayan"",""Kelvin Ikeduba"",""Kunle Fawole"",""Kunle Remi"",""Norbert Young"",""Richard Mofe-Damijo"",""Rycardo Agbor"",""Segun Arinze"",""Sola Sobowale""]","[""Tade Ogidan""]"
758,Bo Burnham: Inside,movie,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.","[""Comedies"",""Stand-up Comedy""]","[""Bo Burnham""]","[""Bo Burnham""]"
759,Dog Gone Trouble,movie,The privileged life of a pampered dog named Trouble is turned upside-down when he gets lost and must learn to survive on the big-city streets.,"[""Children & Family Movies"",""Comedies"",""Family Features"",""Kids Music"",""Family Adventures"",""Animated Movies""]","[""Big Sean"",""Carlos PenaVega"",""Damon Wayans Jr."",""Joel McHale"",""Lucy Hale"",""Marissa Jaret Winokur"",""Olivia Holt"",""Pamela Adlon"",""Seth Rollins"",""Wilmer Valderrama""]","[""Kevin Johnson""]"
760,One Lagos Night,movie,"A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea.","[""African Movies"",""Comedies"",""Nollywood""]","[""Ajayi Akorede"",""Ali Nuhu"",""Eniola Badmus"",""Frank Donga"",""Gbubemi Ejeye"",""Genoveva Umeh"",""Gold Ikponmwosa"",""Ogbolor"",""Serge Noujaim""]","[""Ekene Som Mekwunye""]"
761,Soy Rada: Serendipity,movie,"The delightful Argentine comic Agustín Aristarán (aka Soy Rada) is back, this time putting the spotlight on family and parenting, magic and music.","[""Comedies"",""Stand-Up Comedy"",""Argentinian""]","[""Agustín Aristarán""]","[""Pablo Faro""]"
762,Blue Miracle,movie,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.","[""Children & Family Movies"",""Movies Based on Real Life"",""Dramas"",""Family Dramas"",""Family Features""]","[""Anthony Gonzalez"",""Bruce McGill"",""Dana Wheeler-Nicholson"",""Dennis Quaid"",""Fernanda Urrejola"",""Isaac Arellanes"",""Jimmy Gonzales"",""Miguel Angel Garcia"",""Nathan Arenas"",""Raymond Cruz"",""Silverio Palacios"",""Steve Gutierrez""]","[""Julio Quintana""]"
763,The Day I lost My Shadow,movie,"As winter hits hard and resources run low in Damascus, a single mom heads to the war-scarred outskirts looking for gas to prepare her son a warm meal.","[""Social Issue Dramas"",""Dramas"",""Middle Eastern Movies"",""Independent Movies"",""Syrian""]","[""Abdel Nasser Maraqbi"",""Amal Assaf"",""Hanane Hajj Ali"",""Madonna Adib"",""Marwa Almassri"",""Mohammad Alsayyed Ali"",""Mostafa Alkar"",""Noor Maghout"",""Owiss Mokhallati"",""Reham Kassar"",""Samer Ismael"",""Sawsan Arsheed"",""Yamam Al Hassan"",""Yassin Albokhari""]","[""Soudade Kaadan""]"
