index,title,type,description,genre,cast,creators
2012,Among Family,movie,"Amid a marital crisis, Fikret befriends songstress Solmaz after a wacky encounter and must fill in as the father of her soon-to-wed daughter.","[""Comedies"",""Turkish Movies"",""International Comedies""]","[""Demet Evgar"",""Derya Karadas"",""Devin Ozgur Cinar"",""Devrim Yakut"",""Engin Gunaydin"",""Erdal Ozyagcilar"",""Fatih Artman"",""Gulse Birsel"",""Ozan Açıktan"",""Seher Devrim Yakut"",""Sevket Coruh"",""Su Kutlu""]","[""Ozan Aciktan""]"
2013,My Travel Buddy,movie,"Days before Eid, a salesman fired from his job drives to Ayvalık to meet his girlfriend&#39;s family, but the trip goes astray due to his zany travel buddy.","[""Turkish Movies"",""Comedies"",""Goofy Comedies""]","[""Asli Bekiroglu"",""Bahar Sahin"",""Eda Ece"",""Emre Kinay"",""Ibrahim Buyukak"",""Muharrem Bayrak"",""Oguzhan Koc"",""Toygan Avanoglu""]","[""Bedran Guzel""]"
2014,"Ken Jeong: You Complete Me, Ho",movie,"In his first-ever stand-up special, Ken Jeong pays tribute to his wife and shares stories about Hollywood and how &#39;The Hangover&#39; saved his life.","[""Irreverent Stand-Up Comedy"",""Comedies"",""Goofy Comedies"",""Stand-Up Comedy""]","[""Ken Jeong""]","[""Ken Jeong""]"
2015,Kevin Hart&#39;s Guide to Black History,movie,Kevin Hart highlights the fascinating contributions of black history’s unsung heroes in this entertaining -- and educational -- comedy special.,"[""Movies based on real life"",""Children & Family Movies"",""Family Comedies"",""Comedies""]","[""Al Shearer"",""Alphonso Mcauley"",""Barry Brewer"",""Derek Basco"",""Eoghan Thomas Murphy"",""Greg Germann"",""Jay Johnston"",""Jeff Bowser"",""John Ennis"",""Kevin Hart"",""Kirk Bovill"",""Lil Rel Howery"",""Lonnie Chavis"",""Nika Williams"",""Saniyya Sidney"",""Tiffany Haddish"",""Tom Stern""]","[""Tom Stern""]"
2016,The Tree of Blood,movie,"As a young couple write the story of their families&#39; shared history, both reveal their relatives&#39; dark secrets and one must make a painful confession.","[""LGBTQ Dramas"",""Spanish Movies"",""Dramas"",""Independent Movies"",""International Dramas"",""LGBTQ Movies"",""Romantic Dramas"",""Romantic Independent Movies"",""Romantic LGBTQ Movies"",""Romantic Movies"",""Romantic Favorites""]","[""Alvaro Cervantes"",""Angela Molina"",""Daniel Grao"",""Emilio Gutierrez Caba"",""Joaquin Furriel"",""Jose Maria Pou"",""Luisa Gavasa"",""Maria Molins"",""Najwa Nimri"",""Patricia Lopez Arnaiz"",""Ursula Corbero""]","[""Julio Medem""]"
2017,ReMastered: The Two Killings of Sam Cooke,movie,"While Sam Cooke rose to stardom as a soul singer, his outspoken views on civil rights drew attention that may have contributed to his death at age 33.","[""Social & Cultural Docs"",""Documentaries"",""Crime Documentaries"",""Music & Musicals"",""Biographical Documentaries"",""Music & Concert Documentaries"",""Biographical Movies""]","[""Dionne Warwick"",""Quincy Jones"",""Sam Cooke"",""Smokey Robinson""]","[""Kelly Duane"",""Kelly Duane de la Vega""]"
2018,High Flying Bird,movie,"When an NBA lockout sidelines his big rookie client, an agent hatches a bold plan to save their careers -- and disrupt the league&#39;s power structure.","[""Sports Dramas"",""Dramas"",""Sports Films"",""Social Issue Dramas""]","[""Andre Holland"",""Bill Duke"",""Bobbi A Bordley"",""Farah Bala"",""Kyle MacLachlan"",""Melvin Gregg"",""Michelle Ang"",""Sonja Sohn"",""Steven Soderbergh"",""Zachary Quinto"",""Zazie Beetz""]","[""Tarell Alvin McCraney""]"
2019,"Ray Romano: Right Here, Around the Corner",movie,"Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began.","[""Stand-Up Comedy"",""Comedies""]","[""Ray Romano""]","[""Ray Romano""]"
2020,Dear Ex,movie,"A teen navigates a bitter feud between his willful mom and a free-spirited man, who&#39;s the lover and insurance beneficiary of his recently deceased dad.","[""Taiwanese Movies"",""Romantic Comedies"",""LGBTQ Movies"",""Chinese Movies"",""Romantic Movies"",""Dramas"",""Comedies"",""Romantic Dramas"",""International Comedies"",""LGBTQ Comedies"",""International Dramas"",""LGBTQ Dramas"",""Romantic Favorites"",""Romantic LGBTQ Movies""]","[""Hsieh Ying-xuan"",""Hsu Chih-yen"",""Joseph Huang"",""Mag Hsu"",""Roy Chiu"",""Spark Chen"",""Ying-Xuan Hsieh""]","[""Mag Hsu"",""Shih-yuan Lu""]"
2021,Velvet Buzzsaw,movie,"A feared critic, an icy gallery owner and an ambitious assistant snap up a recently deceased artist&#39;s stash of paintings -- with dire consequences.","[""Thrillers"",""Dramas""]","[""Billy Magnussen"",""Dan Gilroy"",""Daveed Diggs"",""Jake Gyllenhaal"",""John Malkovich"",""Natalia Dyer"",""Rene Russo"",""Tom Sturridge"",""Toni Collette"",""Zawe Ashton""]","[""Dan Gilroy""]"
2022,Hantu Kak Limah,movie,"When Kak Limah turns up dead shortly after her marriage to a much younger man, her pesky ghost haunts the villagers, who can&#39;t seem to get rid of her.","[""Goofy Comedies"",""Horror Comedies"",""Comedies"",""Horror Movies"",""Supernatural Horror Movies"",""International Comedies"",""Malaysian Movies""]","[""Arab Khalid"",""Awie"",""Delimawati"",""Ropie Cecupak"",""Sharwani Ns"",""Tj Isa"",""Uqasha Senrose"",""Zul Ariffin""]","[""Mamat Khalid""]"
2023,High Society,movie,"A deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the über-elite.","[""Dramas"",""Korean Movies"",""Steamy Dramas"",""International Dramas""]","[""Byun Hyuk"",""Hae-il Park"",""Han Ju-yeong"",""Jang So-yeon"",""Jin-wook Lee"",""Kim Gyu-sun"",""Kim Hae-gon"",""Lee Jin-wook"",""Mi-ran Ra"",""Nam Moon-cheol"",""Nam Mun-cheol"",""Park Hae-il"",""Ra Mi-ran"",""Soo Ae"",""Su Ae"",""Yoon Je-moon""]","[""Byun Hyuk"",""Hyuk Byun""]"
2024,Gabriel &#39;Fluffy&#39; Iglesias: One Show Fits All,movie,"Gabriel &#39;Fluffy&#39; Iglesias discusses his teenage son and encounters with Snoop Dogg, Chris Rock and Vicente Fernández in this stand-up special for 2019.","[""Irreverent Stand-up Comedy"",""Stand-Up Comedy"",""Goofy Comedies"",""Comedies""]","[""Gabriel Iglesias""]","[""Manny Rodriguez""]"
2025,Up Among  The Stars,movie,"A grieving filmmaker struggling to keep custody of his young son after his wife&#39;s death uses magical, imaginary stories to maintain their bond.","[""Spanish Movies"",""Fantasy Movies"",""Dramas"",""Sci-Fi & Fantasy"",""Showbiz Dramas"",""International Dramas"",""International Sci-Fi & Fantasy""]","[""Alvaro Roig"",""Ingrid Garcia Jonsson"",""Jorge Andreu"",""Jose Luis Garcia Perez"",""Kiti Manver"",""Liz Lobato"",""Luis Callejo"",""Macarena Gomez"",""Magui Mira"",""Maria Morales"",""Zoe Berriatúa""]","[""Zoe Berriatua""]"
2026,Nathicharami,movie,"Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality.","[""Dramas"",""Kannada Movies & TV"",""Social Issue Dramas"",""Indian Movies"",""Independent Movies"",""International Dramas""]","[""Balaji Manohar"",""Gopalkrishna Deshpande"",""Greeshma Sridhar"",""Harshil Koushik"",""Sanchari Vijay"",""Shaanthala"",""Sharanya"",""Sruthi Hariharan""]","[""Sandhya Rani""]"
2027,Goyo: The Boy General,movie,Brash ladies&#39; man Gregorio &#39;Goyo&#39; del Pilar rises to become one of the Philippines&#39; youngest generals in this historical epic sequel to &#39;Heneral Luna.&#39;,"[""Dramas"",""Period Pieces"",""Military Dramas"",""Filipino Movies"",""Movies based on real life"",""Biographical Movies"",""Epics"",""International Dramas""]","[""Alvin Anson"",""Arron Villaflor"",""Benjamin Alves"",""Carlo Aquino"",""Empress Schuck"",""Gwen Zamora"",""Jeffrey Quizon"",""Jerrold Tarog"",""Mon Confiado"",""Paulo Avelino"",""Perla Bautista""]","[""Jerrold Tarog""]"
2028,Animas,movie,A teen&#39;s eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.,"[""Horror Movies"",""Teen Screams"",""Chilling Horror Movies"",""Psychological Horror Movies"",""Spanish Movies"",""Movies based on Books""]","[""Angela Molina"",""Chacha Huang"",""Clare Durant"",""Ivan Pellicer"",""José Ortuño"",""Laura Alvea"",""Liz Lobato"",""Luis Bermejo""]","[""Jose F. Ortuno"",""Jose Ortuno"",""Laura Alvea""]"
2029,Polar,movie,"An assassin on the verge of retirement must put the good life on hold when his greedy boss sends a squad of young, ruthless killers to take him out.","[""Crime Movies"",""Action Thrillers"",""Crime Action & Adventure"",""Action & Adventure"",""Canadian Movies""]","[""Anthony Grant"",""Ayisha Issa"",""Fei Ren"",""Johnny Knoxville"",""Josh Cruddas"",""Katheryn Winnick"",""Mads Mikkelsen"",""Matt Lucas"",""Robert Maillet"",""Ruby O. Fee"",""Vanessa Hudgens""]","[""Jonas Akerlund""]"
2030,Hotel Transylvania 3: Summer Vacation,movie,"It&#39;s love at first sight for Dracula when he meets Ericka, the charming but mysterious captain of the monster cruise that Mavis plans for the family.","[""Comedies"",""Family Comedies"",""Children & Family Movies"",""Animation"",""US Movies"",""Family Features""]","[""Adam Sandler"",""Andy Samberg"",""David Spade"",""Fran Drescher"",""Kathryn Hahn"",""Keegan-Michael Key"",""Kevin James"",""Mel Brooks"",""Molly Shannon"",""Selena Gomez"",""Steve Buscemi""]","[""Genndy Tartakovsky""]"
2031,Rampage,movie,"When a strange chemical mutates three animals into overgrown, aggressive beasts, a primatologist must find an antidote before they destroy the city.","[""Sci-Fi & Fantasy"",""Action & Adventure"",""Adventures"",""Action Sci-Fi & Fantasy"",""Fantasy Movies"",""Sci-Fi Adventure"",""Blockbuster Action & Adventure"",""US Movies"",""Action"",""Monster Films""]","[""Demetrius Grosse"",""Dwayne Johnson"",""Jack Quaid"",""Jake Lacy"",""Jason Liles"",""Jeffrey Dean Morgan"",""Joe Manganiello"",""Malin Akerman"",""Marley Shelton"",""Naomie Harris"",""P.J. Byrne""]","[""Brad Peyton""]"
2032,Ready Player One,movie,"In a world on the brink of collapse, a talented gamer takes the lead in a series of challenges to win ownership of a massive virtual reality universe.","[""Critically-acclaimed Sci-Fi & Fantasy"",""Action Sci-Fi & Fantasy"",""Critically-acclaimed Movies"",""Sci-Fi Adventure"",""Critically-acclaimed Action & Adventure"",""Action & Adventure"",""Cyberpunk"",""Adventures"",""Sci-Fi & Fantasy"",""Movies based on Books"",""Blockbuster Action & Adventure"",""US Movies"",""Futuristic Sci-Fi"",""Action""]","[""Ben Mendelsohn"",""Hannah John-Kamen"",""Lena Waithe"",""Mark Rylance"",""Olivia Cooke"",""Philip Zhao"",""Simon Pegg"",""Steven Spielberg"",""T.J. Miller"",""Tye Sheridan"",""Win Morisaki""]","[""Steven Spielberg""]"
2033,Soni,movie,"While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.","[""Crime Dramas"",""Hindi-Language Movies"",""Social Issue Dramas"",""Independent Dramas"",""Crime Movies"",""Dramas"",""Indian Movies"",""Independent Movies"",""International Dramas""]","[""Dimple Kaur"",""Gauri Chakraborty"",""Geetika Vidya Ohlyan"",""Mohinder Gujral"",""Mohit Chauhan"",""Saloni Batra"",""Simrat Kaur"",""Vikas Shukla""]","[""Ivan Ayr""]"
2034,IO,movie,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who&#39;s racing to catch the last shuttle off the planet.","[""Futuristic Sci-Fi"",""Sci-Fi & Fantasy"",""Sci-Fi Dramas"",""Dramas""]","[""Anthony Mackie"",""Danny Huston"",""Jonathan Helpert"",""Margaret Qualley""]","[""Jonathan Helpert""]"
2035,FYRE: The Greatest Party That Never Happened,movie,"The Fyre Festival was billed as a luxury music experience on a posh private island, but it failed spectacularly in the hands of a cocky entrepreneur.","[""Documentaries"",""Documentaries""]","[""Billy McFarland"",""Chris Smith"",""Ja Rule""]","[""Chris Smith""]"
2036,Close,movie,"When attackers target the heiress she&#39;s protecting, battle-hardened bodyguard Sam scrambles to save her client -- and teach her how to fight back.","[""British Movies"",""Action & Adventure"",""Action Thrillers"",""Action Movies"",""British Action & Adventure""]","[""Christopher Sciueref"",""Eoin Macken"",""George Georgiou"",""Indira Varma"",""Noomi Rapace"",""Sophie Nelisse"",""Vicky Jewson""]","[""Vicky Jewson""]"
2037,Rock My Heart,movie,A thrill-seeking teenage girl with a heart defect bonds with a rowdy black stallion and fights to ride in a race despite her life-threatening illness.,"[""German Dramas"",""Dramas"",""German Movies"",""Children & Family Movies"",""Family Dramas"",""Teen Films"",""International Dramas""]","[""Anneke Kim Sarnau"",""Annette Frier"",""Dieter Hallervorden"",""Emilio Sakraya"",""Hans Martin Stier"",""Johann von Bulow"",""Lena Klenke"",""Michael Lott"",""Milan Peschel"",""Vedat Erincin""]","[""Hanno Olderdissen""]"
2038,Patria,movie,"Paco Ignacio Taibo II brings his book trilogy to life, highlighting Mexico&#39;s history in 1854-1867, a period he considers foundational to the country.","[""Historical Documentaries"",""Documentaries"",""Biographical Movies"",""Social & Cultural Docs"",""Military Documentaries"",""Argentinian Movies"",""Political Documentaries"",""Biographical Documentaries"",""Movies based on Books"",""Mexican Movies"",""Documentary Films""]","[""Paco Ignacio Taibo II""]","[""Luiza Parvu"",""Matias Gueilburt"",""Toma Peiu""]"
2039,Sebastian Maniscalco: Stay Hungry,movie,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life&#39;s annoyances in this comedy special.","[""Stand-up Comedy"",""Stand-up Comedy & Talk Shows"",""Comedies""]","[""Sebastian Maniscalco""]","[""Sebastian Maniscalco""]"
2040,Revenger,movie,"Hell-bent on avenging the murder of his family, a former detective infiltrates a remote island that serves as a prison for vicious death row criminals.","[""Martial Arts Movies"",""Crime Action & Adventure"",""Crime Movies"",""Action & Adventure"",""Korean Movies"",""Asian Action Movies"",""International Action & Adventure""]","[""Bruce Khan"",""Choi Je-heon"",""Hee-soon Park"",""Jeon Soo-jin"",""Jin-seo Yoon"",""Kim In-kwon"",""Kim Jae-hyun"",""Kim Na-yeon"",""Park Cheol-min"",""Park Hee-soon"",""Yoon Jin-seo""]","[""Lee Seung-won"",""Seung-Won Lee""]"
2041,Only Mine,movie,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways.","[""Psychological Thrillers"",""Thrillers""]","[""Amber Midthunder"",""Ashley Holliday Tavares"",""Brett Zimmerman"",""Chris Browning"",""Claudia Ferri"",""Ellen Wroe"",""Jonna Walsh"",""Lorenzo James Henrie"",""Nancy Linehan Charles"",""Walter Fauntleroy""]","[""Michael Civille""]"
2042,Adhugo,movie,A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.,"[""Indian Movies"",""Telugu-Language Movies"",""Comedies"",""Dark Comedies"",""International Thrillers"",""International Comedies"",""Crime Thrillers"",""Thrillers"",""Crime Comedies"",""Crime Movies""]","[""Abhishek Varma"",""Nabha Natesh"",""Pranavi"",""Ravi Babu"",""Satwik"",""Uday Bhaskar Tripuraneni""]","[""Ravi Babu""]"
2043,Pandigai,movie,"Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that.","[""Crime Dramas"",""Dramas"",""Action & Adventure"",""Crime Movies"",""Indian Movies"",""Crime Action & Adventure"",""Tamil-Language Movies"",""Heist Films"",""International Action & Adventure"",""International Dramas""]","[""Aathma Patrick"",""Anandhi"",""Aruldass"",""Black Pandi"",""Karunas"",""Kreshna"",""Krishna"",""Madhusudhanan"",""Nitin Sathyaa"",""Pandi"",""Prinz Nithik"",""Saravanan"",""Shanmugha Rajan""]","[""Feroz""]"
2044,Echcharikkai,movie,"After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down.","[""Crime Movies"",""Tamil-Language Movies"",""Indian Movies"",""Thrillers"",""Crime Thrillers"",""International Thrillers""]","[""Jayakumar"",""Kishore Kumar G."",""L. Alice"",""Sathyaraj"",""Soundar"",""Varalakshmi Sarathkumar"",""Varalaxmi Sarathkumar"",""Vivek Rajgopal"",""Yogi Babu""]","[""Sarjun""]"
2045,The Doll,movie,"Eerie things begin to happen after a man gives his wife a doll, unaware it once belonged to a girl who was murdered. The first of the &#39;Doll&#39; films.","[""Supernatural Horror Movies"",""Horror Movies"",""International Movies"",""Indonesian Films""]","[""Annette Edoarda"",""Aslam Abad"",""Demian Aditya"",""Denny Sumargo"",""Faiza Mahnur"",""Hans Gunawan"",""Rocky Soraya"",""Sara Wijayanto"",""Shandy Aulia"",""Vitta Mariana Barrazza"",""Wenty Mamenda""]","[""Rocky Soraya""]"
2046,Abducted in Plain Sight,movie,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.","[""Crime Movies"",""Documentaries"",""US Movies"",""Crime Documentaries"",""True Crime Documentaries"",""Documentaries""]","[""Jan Broberg"",""Skye Borgman""]","[""Skye Borgman""]"
2047,The Doll 2,movie,"A mother uses her deceased daughter’s doll as a medium to communicate with her, but the consequences are chilling. The second of the “Doll” films.","[""Supernatural Horror Movies"",""Horror Movies"",""International Movies"",""Indonesian Films""]","[""Herjunot Ali"",""Ira Ilva Sari"",""Luna Maya"",""Maria Sabta"",""Mega Carefansa"",""Princess Martinez"",""Rocky Soraya"",""Rydhen Afexi"",""Sara Wijayanto"",""Shofia Shireen"",""Wati Sudiyono""]","[""Rocky Soraya""]"
2048,Baazaar,movie,"A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon.","[""Hindi-Language Movies"",""Indian Movies"",""International Movies"",""Dramas"",""International Dramas"",""Bollywood Films""]","[""Chitrangada Singh"",""Chitrangda Singh"",""Danish Hussain"",""Deepak Gheewala"",""Denzil Smith"",""Gauravv K Chawla"",""Manish Chaudhary"",""Pawan Chopra"",""Radhika Apte"",""Rohan Vinod Mehra"",""Saif Ali Khan"",""Utkarsh Mazumdar""]","[""Gauravv K Chawla"",""Gauravv K. Chawla""]"
2049,Solo,movie,"In a remote area of the Canary Islands, a surfer falls off a cliff. Fighting to survive, he reflects on his life and past romance. Based on true events.","[""European Movies"",""Thrillers"",""Independent Movies"",""Dramas"",""Independent Thrillers"",""Independent Dramas"",""Spanish Movies""]","[""Alain Hernandez"",""Aura Garrido"",""Ben Temple"",""Eddie McDowell"",""Stephen Paul Astor"",""Tara Madden"",""Terrell Fletcher""]","[""Tamera Hill""]"
2050,The Last Laugh,movie,"After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit.","[""Dramas"",""Comedies"",""Showbiz Dramas""]","[""Andie MacDowell"",""Chevy Chase"",""Chris Parnell"",""George Wallace"",""Greg Pritikin"",""James Galea"",""Kate Micucci"",""Lewis Black"",""Richard Dreyfuss""]","[""Greg Pritikin""]"
2051,GODZILLA The Planet Eater,movie,"With the earth alliance weakened, Haruo weighs siding with the Exif, whose death cult is summoning a monster that can destroy the world.","[""Adult Animation"",""Japanese Action & Adventure"",""Sci-Fi & Fantasy"",""Action & Adventure"",""Anime Features"",""Anime released in 2018"",""Action Anime"",""Sci-Fi & Fantasy Anime"",""Action Sci-Fi & Fantasy"",""Japanese Movies"",""Japanese Sci-Fi & Fantasy"",""Anime""]","[""Ari Ozawa"",""Daisuke Ono"",""Hiroyuki Seshita"",""Junichi Suwabe"",""Kana Hanazawa"",""Kazuhiro Yamaji"",""Kazuya Nakai"",""Kenta Miyake"",""Kenyu Horiuchi"",""Kobun Shizuno"",""Mamoru Miyano"",""Reina Ueda"",""Takahiro Sakurai"",""Tomokazu Sugita"",""Yuki Kaji""]","[""Hiroyuki Seshita"",""Kobun Shizuno""]"
2052,Next Enti?,movie,"Clashing views on intimacy lead a couple to go their separate ways to reflect on commitment and companionship, before suddenly crossing paths again.","[""Dramas"",""Telugu-Language Movies"",""Romantic Comedies"",""International Movies"",""Indian Movies"",""International Dramas"",""Romantic Dramas"",""Comedies"",""Romantic Movies"",""International Comedies""]","[""Gerald Maliqi"",""Larissa Bonesi"",""Navdeep"",""Pamela Cook"",""Poonam Kaur"",""Sarathbabu"",""Sundeep Kishan"",""Tamannaah Bhatia""]","[""Kunal Kohli""]"
2053,Pahuna,movie,"Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India.","[""International Movies"",""Dramas"",""Comedies"",""Indian Films"",""International Comedies"",""International Dramas""]","[""Anmol Limbu"",""Banita Lagun"",""Binod Pradhan"",""Ishika Gurung"",""Mahindra Bajgai"",""Manju Chettri"",""Rupa Tamang"",""Saran Rai"",""Sujoy Rai""]","[""Paakhi A. Tyrewala"",""Paakhi Tyrewala""]"
2054,Komola Rocket,movie,"As the lives of rich and poor passengers aboard a steamship unfold, buried secrets, lustful affairs and selfish desires are exposed.","[""Dramas based on Books"",""Dramas"",""International Movies"",""Bengali-Language Movies"",""Independent Dramas"",""Independent Movies"",""Movies Based on Books"",""International Dramas""]","[""Dominic Gomez"",""Fariha Shams Sheuti"",""Joyraj"",""Mosharraf Karim"",""Samia Said"",""Samia Syed"",""Tauquir Ahmed""]","[""Noor Imran Mithu""]"
2055,Along with the Gods: The Last 49 Days,movie,"While defending an unlikely soul, the afterlife Guardians investigate an elderly man who’s outstayed his time on Earth, and delve into their own past.","[""Action Sci-Fi & Fantasy"",""Fantasy Movies"",""Asian Action Movies"",""Action & Adventure"",""Dramas"",""Sci-Fi & Fantasy"",""Adventures"",""Korean Films""]","[""D.O"",""Doh Kyung-soo"",""Dong-seok Ma"",""Ha Jung-woo"",""Hyang-gi Kim"",""Im Won-hee"",""Ji-Hoon Ju"",""Ju Ji-hoon"",""Jung-woo Ha"",""Kim Dong-wook"",""Kim Hyang-gi"",""Lee Gyoung-young"",""Lee Jung-jae"",""Lee Kyeong-yeong"",""Ma Dong-seok"",""Sung Dong-il""]","[""Kim Yong-hwa"",""Yong-hwa Kim""]"
2056,Lionheart,movie,"When her father falls ill, Adaeze steps up to run the family business -- alongside her uncle -- and prove herself in a male-dominated world.","[""Comedies"",""Independent Comedies"",""Dramas"",""Independent Movies"",""Independent Dramas"",""African Films"",""International Comedies"",""International Dramas"",""Nollywood Films""]","[""Genevieve Nnaji"",""Kanayo O. Kanayo"",""Nkem Owoh"",""Onyeka Onwenu"",""Pete Edochie""]","[""Genevieve Nnaji""]"
2057,Puriyatha Puthir,movie,An aspiring music director begins to receive voyeuristic footage of his girlfriend from her apparent stalker as tragedy strikes those around him.,"[""Psychological Thrillers"",""Tamil-Language Movies"",""Mind Game Thrillers"",""Thrillers"",""Indian Movies"",""International Movies"",""International Thrillers""]","[""Arjunan"",""Gayathrie"",""Mahima Nambiar"",""Ramesh Thilak"",""Ranjith"",""Sonia Deepti"",""Vijay Sethupathi""]","[""Ranjit Jeyakodi""]"
2058,Merku Thodarchi Malai,movie,"In southern India, a laborer&#39;s dreams of owning a piece of land to farm is complicated by political corruption.","[""Tamil-Language Movies"",""Independent Dramas"",""Independent Movies"",""Social Issue Dramas"",""Dramas"",""Indian Movies"",""International Dramas""]","[""Aarubala"",""Abu Valayamkulam"",""Anthony Vaathiyaar"",""Antony"",""Gayathri Krishna"",""Gayatri Krishnan"",""Sornam""]","[""Lenin Bharathi"",""Leninbharati""]"
2059,Taramani,movie,"A traditional man and an independent woman share a connection, but they must learn to navigate their vastly different experiences and expectations.","[""Romantic Dramas"",""Tamil-Language Movies"",""Independent Movies"",""Independent Dramas"",""Dramas"",""Romantic Movies"",""Social Issue Dramas"",""Romantic Independent Movies"",""International Movies"",""Indian Movies"",""International Dramas""]","[""Abhishek D Shah"",""Adrian Knight Jesly"",""Andrea Jeremiah"",""Anjali"",""Azhagam Perumal"",""Azhagamperumal"",""Dongli Jumbo"",""Lizzie Antony"",""Nivas Adithan"",""Vasanth Ravi"",""VenkateshBalaji""]","[""Ram""]"
2060,Taylor Swift reputation Stadium Tour,movie,"Taylor Swift takes the stage in Dallas for the reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.","[""Music & Musicals""]","[""Camila Cabello"",""Kristian Bush"",""Taylor Swift"",""Tiffany Haddish""]","[""Paul Dugdale""]"
2061,Tim Allen: ReWires America,movie,"Standup star Tim Allen storms the stage for a set chock-full of observations about powerful cars, beautiful lawns and more of the things he loves.","[""Comedies"",""Stand-up Comedy"",""Stand-up Comedy & Talk Shows""]","[""Tim Allen""]","[""Tim Allen""]"
2062,Tim Minchin: So F**king Rock,movie,Comedic pianist Tim Minchin performs a host of his catchy songs that touch on everything from the Middle East to the healing power of canvas bags.,"[""Stand-up Comedy"",""Music & Musicals"",""Stand-up Comedy & Talk Shows"",""European Comedies"",""Comedies"",""Dark Comedies"",""Irreverent Stand-Up Comedy"",""British Comedies"",""Music""]","[""Tim Minchin""]","[""Tim Minchin""]"
2063,Bill Hicks: Relentless,movie,"In one of his most iconic performances, late comedian Bill Hicks demonstrates what made him such a singular talent and a force to be reckoned with.","[""Comedies"",""Dark Comedies"",""Stand-up Comedy & Talk Shows"",""Stand-up Comedy"",""Political Comedies"",""Irreverent Stand-up Comedy""]","[""Bill Hicks""]","[""Chris Bould""]"
2064,Bill Hicks: Reflections,movie,"This documentary about comedian Bill Hicks offers insight into his irreverent takes on, well, everything. Brother Steve Hicks is the star witness.","[""Documentaries"",""Documentaries""]","[""Bill Hicks"",""Steve Hicks""]","[""Rodrigo Pelmonto""]"
2065,Todd Glass: Stand-Up Special,movie,"Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark.","[""Comedies"",""Dark Comedies"",""Stand-up Comedy & Talk Shows"",""Stand-up Comedy"",""Irreverent Stand-Up Comedy""]","[""Todd Glass""]","[""Todd Glass""]"
2066,Bill Hicks: One Night Stand,movie,"Bill Hicks remembers a wild night in 1989 and offers his views on puffing cigarettes, smoking weed, drinking, sex, commercials and music.","[""US TV Shows"",""TV Comedies"",""Stand-up Comedy & Talk Shows"",""Stand-up Comedy"",""TV Shows"",""Dark Comedies"",""Comedies"",""Irreverent Stand-up Comedy""]","[""Bill Hicks""]","[""John Fortenberry""]"
2067,The Seven Deadly Sins the Movie: Prisoners of the Sky,movie,"The Seven Deadly Sins aid the Sky People against a powerful group of demons hellbent on resurrecting a demonic beast sealed over 3,000 years ago.","[""Japanese Movies"",""Sci-Fi & Fantasy"",""International Movies"",""Anime based on Comics"",""Fantasy Anime"",""Action & Adventure"",""Anime Features"",""Action Sci-Fi & Fantasy"",""Action Anime"",""Anime"",""Shounen Anime""]","[""Akio Otsuka"",""Aoi Yuki"",""Haruka Tomatsu"",""Jun Fukuyama"",""Maaya Sakamoto"",""Masuo Amada"",""Misaki Kuno"",""Reiko Suzuki"",""Silk Road"",""Sora Amamiya"",""Takaya Kuroda"",""Tatsuhisa Suzuki"",""Tomokazu Sugita"",""Toru Sakurai"",""Toshiyuki Morikawa"",""Tsubasa Yonaga"",""Yoko Hikasa"",""Yuhei Takagi"",""Yuki Kaji""]","[""Noriyuki Abe""]"
